Base DRG,Included MS-DRG Codes,Descriptor
178,559; 560; 561,"Limb reattachment, hip and femur procedures for multiple significant trauma with MCC"
179,562; 563,"Limb reattachment, hip and femur procedures for multiple significant trauma without MCC"
180,564; 565; 566,Other musculoskeletal system and connective tissue procedures with MCC
181,573; 574; 575,Other musculoskeletal system and connective tissue procedures without MCC
182,576; 577; 578,Major joint replacement or reattachment of lower extremity with MCC
183,579; 580; 581,Major joint replacement or reattachment of lower extremity without MCC
184,582; 583,Mastectomy for malignancy with CC/MCC
185,584; 585,Mastectomy for malignancy without CC/MCC
186,592; 593; 594,"Skin, subcutaneous tissue and breast procedures with MCC"
187,595; 596,"Skin, subcutaneous tissue and breast procedures without MCC"
188,597; 598; 599,"Malignancy, female reproductive system with MCC"
189,600; 601,"Malignancy, female reproductive system with CC"
190,602; 603,"Malignancy, female reproductive system without CC/MCC"
191,604; 605,Minor bladder procedures with MCC
192,606; 607,Minor bladder procedures without MCC
193,614; 615,Adrenal and pituitary procedures with CC/MCC
194,616; 617; 618,Adrenal and pituitary procedures without CC/MCC
195,619; 620; 621,O.R. procedures for obesity with MCC
196,622; 623; 624,O.R. procedures for obesity without MCC
197,625; 626; 627,"Other endocrine, nutrition and metabolic O.R. procedures with MCC"
198,628; 629; 630,"Other endocrine, nutrition and metabolic O.R. procedures without MCC"
199,637; 638; 639,Diabetes with MCC
200,640; 641,Diabetes without MCC
201,642,Inborn and Other Disorders of Metabolism with MCC
202,643; 644; 645,Endocrine Disorders with MCC; Endocrine Disorders without MCC; Diabetes with CC
203,652,Renal Failure with MCC
204,653; 654; 655,Renal Failure without MCC; Hypertension without MCC; Hypertension with MCC
205,656; 657; 658,Kidney and Urinary Tract Infections with MCC; Kidney and Urinary Tract Infections without MCC; Renal and Urinary Tract Neoplasms with MCC
206,659; 660; 661,Renal and Urinary Tract Neoplasms without MCC; Transurethral Procedures with MCC; Transurethral Procedures without MCC
207,662; 663; 664,Major Bladder Procedures with MCC; Major Bladder Procedures without MCC; Other Male Reproductive System Procedures with MCC
208,665; 666; 667,Other Male Reproductive System Procedures without MCC; Prostatectomy with CC/MCC; Prostatectomy without CC/MCC
209,668; 669; 670,Transurethral Procedures with CC/MCC; Urethral Procedures without CC/MCC; Other Kidney and Urinary Tract Procedures with MCC
210,671; 672,Other Kidney and Urinary Tract Procedures without MCC
211,673; 674; 675,Other Kidney and Urinary Tract Procedures with CC; Other Kidney and Urinary Tract Procedures without CC/MCC; Other Kidney and Urinary Tract Procedures with MCC
212,682; 683; 684,Other Kidney and Urinary Tract Procedures without CC/MCC; Other Male Reproductive System Diagnoses with MCC; Other Male Reproductive System Diagnoses without MCC
213,685,Adrenal and Pituitary Procedures with MCC
214,686; 687; 688,Adrenal and Pituitary Procedures without MCC; Other Endocrine Disorders with MCC; Other Endocrine Disorders without MCC
215,689; 690,Kidney and Urinary Tract Neoplasms with CC/MCC; Other Kidney and Urinary Tract Neoplasms without CC/MCC
216,691; 692; 693,Urinary Stones with MCC; Urinary Stones without MCC; Other Male Reproductive System Diagnoses with CC/MCC
217,691; 692; 693,Other Male Reproductive System Diagnoses with CC/MCC
218,695; 696,Other Male Reproductive System Diagnoses without CC/MCC
219,698; 699; 700,Other Kidney and Urinary Tract Diagnoses with MCC; Other Kidney and Urinary Tract Diagnoses without MCC; Other Kidney and Urinary Tract Diagnoses with CC
220,707; 708,Multiple Significant Trauma with MCC; Multiple Significant Trauma without MCC
221,709; 710,Urinary Stones without ESW Lithotripsy with MCC; Urinary Stones without ESW Lithotripsy without MCC
222,711; 712,"Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders with MCC; Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders without MCC"
223,713; 714,Cranial and Peripheral Nerve Disorders with MCC; Cranial and Peripheral Nerve Disorders without MCC
224,715; 716,Other Male Reproductive System OR Procedures with CC/MCC; Other Male Reproductive System OR Procedures without CC/MCC
225,717; 718,Prostatectomy with CC
226,722; 723; 724,"Malignancy, Male Reproductive System with MCC; Malignancy, Male Reproductive System without MCC; Other Male Reproductive System Operating Room Procedures with MCC"
227,725; 726,Benign Prostatic Hypertrophy with MCC; Benign Prostatic Hypertrophy without MCC
228,727; 728,Inflammatory Bowel Disease with MCC; Inflammatory Bowel Disease without MCC
229,729; 730,Other Digestive System Diagnoses with MCC; Other Digestive System Diagnoses without MCC
230,734; 735,"Pelvic Evisceration, Radical Hysterectomy and Radical Vulvectomy with MCC; Pelvic Evisceration, Radical Hysterectomy and Radical Vulvectomy without MCC"
231,736; 737; 738,Uterine and Adnexal Procedures for Ovarian or Adnexal Malignancy with MCC; Uterine and Adnexal Procedures for Ovarian or Adnexal Malignancy with CC; Uterine and Adnexal Procedures for Ovarian or Adnexal Malignancy without CC/MCC
232,739; 740; 741,"Uterine, Adnexa Procedure for Non-Ovarian and Non-Adnexal Malig with MCC; Uterine, Adnexa Procedure for Non-Ovarian and Non-Adnexal Malig with CC; Uterine, Adnexa Procedure for Non-Ovarian and Non-Adnexal Malig without CC/MCC"
233,742; 743,Uterine and Adnexal Procedures for Non-Malignancy with CC/MCC; Uterine and Adnexal Procedures for Non-Malignancy without CC/MCC
234,744; 745,"D&C, Conization, Laparoscopy and Tubal Interruption with CC/MCC; D&C, Conization, Laparoscopy and Tubal Interruption without CC/MCC"
235,746; 747,"Uterine, Adnexa Procedures for Non-Malignancy with MCC; Uterine, Adnexa Procedures for Non-Malignancy without MCC"
236,748,Female Reproductive System Reconstructive Procedures
237,749; 750,"Infectious and Parasitic Diseases, Systemic or Unspecified Sites with MCC; Infectious and Parasitic Diseases, Systemic or Unspecified Sites without MCC"
238,754; 755; 756,"Malignancy, Female Reproductive System with MCC; Malignancy, Female Reproductive System without MCC; Uterine and Adnexal Procedures for Malignancy with MCC"
239,757; 758; 759,"Uterine and Adnexal Procedures for Non-Malignancy with CC/MCC; Infections, Female Reproductive System with MCC; Infections, Female Reproductive System without MCC"
240,760; 761,Menstrual and Other Female Reproductive System Disorders with CC/MCC; Menstrual and Other Female Reproductive System Disorders without CC/MCC
241,765; 766,Cesarean Section with CC/MCC; Cesarean Section without CC/MCC
242,770,"Abortion with D&C, Aspiration Curettage or Hysterotomy"
243,774,Vaginal Delivery with Complicating Diagnoses
244,775,Vaginal Delivery without Complicating Diagnoses
245,776,Postpartum and Post Abortion Diagnosis with Operating Room Procedure
246,777,Ectopic Pregnancy
247,778,Threatened Abortion
248,781,Other Antepartum Diagnoses with Medical Complications
249,782,Other Antepartum Diagnoses without Medical Complications
250,799; 800; 801,Respiratory Infections and Inflammations with MCC; Respiratory Infections and Inflammations without MCC; Pneumothorax with MCC
251,802; 803; 804,Respiratory Signs and Symptoms with MCC; Respiratory Signs and Symptoms without MCC; Other Respiratory System Diagnoses with MCC
252,808; 809; 810,Major Hematological and Immunological Diagnoses with MCC; Major Hematological and Immunological Diagnoses with CC; Major Hematological and Immunological Diagnoses without CC/MCC
253,811; 812,Red Blood Cell Disorders with MCC; Red Blood Cell Disorders without MCC
254,813,Coagulation Disorders
255,814; 815; 816,Reticuloendothelial and Immunity Disorders with MCC; Reticuloendothelial and Immunity Disorders without MCC; Other Blood Disorders with MCC
256,820; 821; 822,Lymphoma and Leukemia with Major O.R. Procedure with MCC; Lymphoma and Leukemia with Major O.R. Procedure without MCC; Lymphoma and Non-Acute Leukemia with Other O.R. Procedure with MCC
257,823; 824; 825,Lymphoma and Non-Acute Leukemia with Other Procedure with MCC; Lymphoma and Non-Acute Leukemia with Other Procedure without MCC; Infectious and Parasitic Diseases of Nervous System with MCC
258,826; 827; 828,Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Major O.R. Procedure with MCC; Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Major O.R. Procedure without MCC; Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Other Procedure with MCC
259,834; 835; 836,Acute Leukemia with Major O.R. Procedure with MCC; Acute Leukemia with Major O.R. Procedure without MCC; Acute Leukemia without Major O.R. Procedure with MCC
260,837; 838; 839,Chemotherapy with Major O.R. Procedure with MCC; Chemotherapy with Major O.R. Procedure without MCC; Chemotherapy without Major O.R. Procedure with MCC
261,840; 841; 842,Lymphoma and Non-Acute Leukemia with MCC; Lymphoma and Non-Acute Leukemia without MCC; Lymphoma and Non-Acute Leukemia with Other Procedure with CC/MCC
262,843; 844; 845,Other Myeloproliferative Disorders or Poorly Differentiated Neoplasms with MCC; Other Myeloproliferative Disorders or Poorly Differentiated Neoplasms with CC; Other Myeloproliferative Disorders or Poorly Differentiated Neoplasms without CC/MCC
263,846; 847; 848,Chemotherapy with Acute Leukemia as Secondary Diagnosis with CC/MCC; Chemotherapy with Acute Leukemia as Secondary Diagnosis without CC/MCC; Chemotherapy without Acute Leukemia as Secondary Diagnosis with MCC
264,849,Acute Leukemia without Major O.R. Procedure without MCC
265,853; 854; 855,"Infectious and Parasitic Diseases, Systemic or Unspecified Sites with O.R. Procedure with MCC; Infectious and Parasitic Diseases, Systemic or Unspecified Sites with O.R. Procedure without MCC; Infectious and Parasitic Diseases, Systemic or Unspecified Sites without O.R. Procedure with MCC"
266,856; 857; 858,Postoperative or Post-Traumatic Infections with O.R. Procedure with MCC; Postoperative or Post-Traumatic Infections with O.R. Procedure without MCC; Postoperative or Post-Traumatic Infections without O.R. Procedure with MCC
267,862; 863,Postoperative and Post-Traumatic Infections with MCC; Postoperative and Post-Traumatic Infections without MCC
268,864,Fever and Inflammatory Conditions
269,865; 866,Viral Illness with MCC; Viral Illness without MCC
270,867; 868; 869,Other Infectious and Parasitic Diseases
271,870,Septicemia or Severe Sepsis with MV >96 Hours or Peripheral Extracorporeal Membrane Oxygenation (ECMO)
272,871; 872,Septicemia or Severe Sepsis without MV >96 Hours with MCC; Septicemia or Severe Sepsis without MV >96 Hours without MCC
273,876,O.R. Procedures with MCC
274,880,"Acute Myocardial Infarction, Discharged Alive with MCC"
275,881,"Acute Myocardial Infarction, Discharged Alive with CC"
276,882,"Acute Myocardial Infarction, Discharged Alive without CC/MCC"
277,883,"Acute Myocardial Infarction, Expired with MCC"
278,884,"Acute Myocardial Infarction, Expired with CC"
279,885,"Acute Myocardial Infarction, Expired without CC/MCC"
280,886,"Behavioral and Developmental Disorders, Non-Psychotic with MCC"
281,887,"Behavioral and Developmental Disorders, Non-Psychotic without MCC"
282,894,"Alcohol/Drug Abuse or Dependence, Left AMA"
283,895,Alcohol/Drug Abuse or Dependence with Rehabilitation Therapy
284,896; 897,Alcohol/Drug Abuse or Dependence without Rehabilitation Therapy with MCC; Alcohol/Drug Abuse or Dependence without Rehabilitation Therapy without MCC
285,901; 902; 903,"Wound Debridements for Endocrine, Nutritional and Metabolic Disorders with MCC; Wound Debridements for Endocrine, Nutritional and Metabolic Disorders with CC; Wound Debridements for Endocrine, Nutritional and Metabolic Disorders without CC/MCC"
286,904; 905,Skin Grafts for Skin Ulcers or Cellulitis with MCC; Skin Grafts for Skin Ulcers or Cellulitis without MCC
287,906,"Limb Reattachment, Hip and Femur Procedures for Multiple Significant Trauma"
288,907; 908; 909,Other O.R. Procedures for Multiple Significant Trauma with MCC; Other O.R. Procedures for Multiple Significant Trauma with CC; Other O.R. Procedures for Multiple Significant Trauma without CC/MCC
289,913; 914,Traumatic Injury with MCC; Traumatic Injury without MCC
290,915; 916,Allergic Reactions with MCC; Allergic Reactions without MCC
291,917; 918,Poisoning and Toxic Effects of Drugs with MCC; Poisoning and Toxic Effects of Drugs without MCC
292,919; 920; 921,Complications of Treatment with MCC; Complications of Treatment with CC; Complications of Treatment without CC/MCC
293,922; 923,"Other Injury, Poisoning and Toxic Effect Diagnoses with MCC; Other Injury, Poisoning and Toxic Effect Diagnoses without MCC"
294,927,Extensive Burn or Full Thickness Burns with MV >96 Hours
295,928; 929,Full Thickness Burn with Skin Graft or Inhalation Injury with CC/MCC; Full Thickness Burn with Skin Graft or Inhalation Injury without CC/MCC
296,935,Nontraumatic Stupor and Coma with MCC
297,939; 940; 941,O.R. Procedures for Obesity with MCC; O.R. Procedures for Obesity with CC; O.R. Procedures for Obesity without CC/MCC
298,945; 946,Rehabilitation with MCC; Rehabilitation without MCC
299,947; 948,Signs and Symptoms with MCC; Signs and Symptoms without MCC
300,949; 950,Adrenal and Pituitary Procedures with CC/MCC; Adrenal and Pituitary Procedures without CC/MCC
301,951,Other Endocrine Disorders with MCC
302,956,"Limb Reattachment Procedures, Hip and Femur with MCC"
303,957; 958; 959,Other O.R. Procedures with MCC; Other O.R. Procedures with CC; Other O.R. Procedures without CC/MCC
304,963; 964; 965,Other Multiple Significant Trauma with MCC; Other Multiple Significant Trauma with CC; Other Multiple Significant Trauma without CC/MCC
305,969; 970,HIV with Major Related Condition with MCC; HIV with Major Related Condition without MCC
306,974; 975; 976,Hiv with Extensive O.R. Procedure with MCC; Hiv with Extensive O.R. Procedure without MCC; Hiv with Major Related Condition with CC
307,977,Hiv with Major Related Condition without CC/MCC
308,981; 982; 983,Extensive O.R. Procedure Unrelated to Principal Diagnosis with MCC; Extensive O.R. Procedure Unrelated to Principal Diagnosis with CC; Extensive O.R. Procedure Unrelated to Principal Diagnosis without CC/MCC
309,984; 985; 986,Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis with MCC; Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis with CC; Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis without CC/MCC
310,987; 988; 989,Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis with MCC; Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis with CC; Non-Extensive O.R. Procedure Unrelated to Principal Diagnosis without CC/MCC
311,999,Unclassified Major Diagnostic Categories
